customer,st,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
DT85712,California,Female,Doctor,411853.91,34378,102.0,0,Personal Auto,SUV,489.6
YJ88573,Nevada,Female,Master,252307.02,43072,63.0,0,Personal Auto,Four-Door Car,302.4
SQ19467,Oregon,Female,College,655421.64,25222,90.0,0,Personal Auto,Four-Door Car,475.62
YB66933,Washington,Female,Bachelor,538275.2,77552,68.0,1,Corporate Auto,Four-Door Car,45.22
ET79815,California,Female,College,592672.94,23091,96.0,5,Personal Auto,Four-Door Car,460.8
QC35222,California,Female,Bachelor,268347.07,48269,69.0,3,Corporate Auto,Four-Door Car,282.15
CJ15590,Oregon,Female,Bachelor,269518.24,32720,67.0,0,Personal Auto,Four-Door Car,321.6
OI48267,California,Female,College,604702.52,20396,76.0,1,Personal Auto,Four-Door Car,364.8
JY67916,Oregon,Female,College,1317101.28,21513,119.0,1,Personal Auto,Two-Door Car,679.83
OW15518,Washington,Female,College,1595001.95,0,87.0,1,Personal Auto,Two-Door Car,46.04
CZ33664,Oregon,Female,Bachelor,252765.38,80744,63.0,0,Corporate Auto,Four-Door Car,11.88
WK30175,Oregon,Female,Bachelor,267209.58,52822,67.0,0,Corporate Auto,Two-Door Car,350.53
ON44465,California,Female,High School or Below,531329.4,0,77.0,1,Personal Auto,Four-Door Car,863.39
TV87155,Oregon,Female,Bachelor,2094619.25,69738,74.0,1,Personal Auto,Four-Door Car,492.13
KH48895,Arizona,Female,Master,837535.39,17780,109.0,0,Personal Auto,SUV,132.59
NZ30757,California,Female,Bachelor,480166.15,18107,62.0,0,Personal Auto,Four-Door Car,297.6
RI22468,Arizona,Female,Bachelor,574594.33,57740,74.0,3,Personal Auto,Four-Door Car,269.91
FZ30935,Oregon,Female,College,606611.6,32627,76.0,0,Personal Auto,Two-Door Car,380.04
UG93476,California,Female,College,800230.83,0,107.0,0,Personal Auto,SUV,513.6
AB96670,California,Female,College,239391.54,0,70.0,0,Personal Auto,Four-Door Car,425.27
XK64261,Oregon,Female,Bachelor,476281.79,65795,62.0,1,Corporate Auto,Two-Door Car,49.01
EV68375,California,Female,College,433038.6,60475,107.0,0,Personal Auto,Four-Door Car,513.6
UN51653,California,Female,High School or Below,940272.98,0,130.0,0,Personal Auto,SUV,936.0
TO96662,Oregon,Female,Bachelor,696669.45,41837,88.0,0,Personal Auto,Four-Door Car,142.06
MR52087,California,Female,Bachelor,769406.43,32303,65.0,0,Personal Auto,Four-Door Car,45.15
DE75225,Oregon,Female,High School or Below,871756.11,0,117.0,1,Personal Auto,SUV,561.6
EP80820,California,Female,Bachelor,592874.85,40531,74.0,0,Personal Auto,Two-Door Car,30.57
GU99037,Oregon,Female,College,245297.73,79898,62.0,1,Corporate Auto,Four-Door Car,271.61
WI57118,California,Female,College,670157.17,56398,85.0,0,Personal Auto,Four-Door Car,408.0
GP39118,Washington,Male,High School or Below,499655.27,71600,63.0,0,Personal Auto,Two-Door Car,46.16
MQ14219,Arizona,Female,College,849269.88,27804,109.0,0,Personal Auto,SUV,784.8
KN20603,Oregon,Female,Bachelor,771349.4,45506,66.0,2,Personal Auto,Four-Door Car,316.8
SG20925,Washington,Female,Master,518579.76,99428,6464.0,1,Personal Auto,Four-Door Car,48.05
JI70886,California,Female,High School or Below,729006.98,0,102.0,1,Corporate Auto,SUV,489.6
VF72557,Oregon,Female,High School or Below,477294.38,20993,133.0,0,Personal Auto,SUV,638.4
OX28638,Arizona,Female,High School or Below,680649.14,37839,86.0,0,Personal Auto,Two-Door Car,465.63
SK55033,California,Female,Bachelor,246978.13,92711,62.0,0,Personal Auto,Two-Door Car,368.4
OO88645,California,Female,College,310392.3,74665,78.0,2,Corporate Auto,Four-Door Car,236.9
FM14335,Washington,Female,College,1048491.54,61108,89.0,0,Personal Auto,Four-Door Car,49.45
CW82151,California,Female,Bachelor,890273.76,46833,112.0,0,Personal Auto,Luxury,64.11
DY22043,Oregon,Female,High School or Below,549944.72,88768,68.0,0,Personal Auto,Two-Door Car,326.4
SH36774,California,Female,High School or Below,1502359.86,28262,192.0,0,Personal Auto,Luxury,921.6
EM43724,Nevada,Female,Bachelor,250910.79,33555,63.0,0,Personal Auto,Four-Door Car,101.9
FH85960,Oregon,Female,College,3122174.81,42780,113.0,1,Personal Auto,Four-Door Car,542.4
XA55993,Oregon,Female,Master,313350.34,58850,78.0,0,Personal Auto,Four-Door Car,143.75
GO36627,Arizona,Female,College,383745.19,21880,97.0,0,Special Auto,Four-Door Car,424.08
QH48047,Oregon,Female,College,1179049.62,25251,66.0,0,Personal Auto,Four-Door Car,316.8
HS28694,Washington,Female,High School or Below,282986.39,25317,71.0,0,Personal Auto,Two-Door Car,50.42
UH65059,Arizona,Female,High School or Below,430580.83,24188,109.0,0,Personal Auto,Luxury,523.2
FV21968,Nevada,Female,Bachelor,597397.69,41611,74.0,0,Special Auto,Four-Door Car,113.8
QA87025,Oregon,Female,Bachelor,567044.24,28406,72.0,1,Personal Auto,Four-Door Car,192.88
TQ13499,Arizona,Female,College,473174.93,69833,118.0,0,Personal Auto,Four-Door Car,828.66
BU44523,Arizona,Female,High School or Below,802637.96,0,74.0,0,Corporate Auto,Four-Door Car,532.8
MS41162,Arizona,Female,High School or Below,402296.35,0,117.0,0,Personal Auto,SUV,975.11
PU25891,Oregon,Female,High School or Below,961831.09,80536,119.0,0,Special Auto,Luxury,53.8
LH92841,Washington,Female,Bachelor,725595.38,88891,89.0,0,Personal Auto,Four-Door Car,50.53
SX26335,Oregon,Female,College,955292.69,97732,79.0,0,Personal Auto,Four-Door Car,289.91
AZ95587,Arizona,Female,Bachelor,1038855.32,61222,89.0,0,Special Auto,Four-Door Car,392.6
DS81757,Oregon,Male,College,247012.12,0,74.0,0,Personal Auto,Two-Door Car,721.24
OJ94107,Arizona,Male,Master,561906.85,50335,140.0,0,Personal Auto,SUV,456.52
LP84436,California,Female,High School or Below,904711.92,0,127.0,0,Personal Auto,Luxury,1088.0
FF22360,Washington,Female,Doctor,268731.41,82210,68.0,4,Personal Auto,Four-Door Car,51.96
LM19287,Oregon,Female,High School or Below,373150.46,0,96.0,0,Personal Auto,Four-Door Car,460.8
ZU18643,Nevada,Male,Bachelor,366077.03,64495,92.0,0,Corporate Auto,Four-Door Car,251.99
AZ82578,California,Female,College,792882.93,0,72.0,0,Corporate Auto,Four-Door Car,345.6
XC67861,Arizona,Female,Bachelor,501175.16,28859,67.0,3,Corporate Auto,Two-Door Car,321.6
YC43143,Arizona,Female,High School or Below,798825.83,77330,99.0,0,Personal Auto,Four-Door Car,99.26
EK59571,Oregon,Male,College,388545.64,0,105.0,0,Corporate Auto,Four-Door Car,504.0
PA38372,Washington,Female,High School or Below,935773.78,33060,117.0,0,Personal Auto,Four-Door Car,56.73
RO18530,Washington,Male,Master,254068.98,42557,65.0,0,Personal Auto,Four-Door Car,57.56
PD27940,Arizona,Male,High School or Below,488516.25,26372,126.0,0,Personal Auto,SUV,604.8
BS77946,Arizona,Female,Bachelor,975330.71,17514,127.0,0,Personal Auto,SUV,8.31
YM50253,California,Female,Bachelor,294615.37,89270,74.0,0,Personal Auto,Four-Door Car,316.6
NR15332,California,Male,High School or Below,258111.09,29757,65.0,0,Personal Auto,Four-Door Car,312.0
RC62865,Oregon,Male,College,351738.58,51814,92.0,0,Personal Auto,Four-Door Car,56.3
CC15295,Oregon,Female,Bachelor,974335.01,24028,82.0,0,Personal Auto,Four-Door Car,393.6
KA61892,Arizona,Male,College,387364.7,28142,105.0,0,Personal Auto,Luxury,701.71
OS94884,Arizona,Female,Bachelor,764928.2,52705,64.0,1,Personal Auto,Two-Door Car,128.71
ND87334,California,Male,High School or Below,228759.69,0,63.0,0,Corporate Auto,Two-Door Car,679.37
OY51402,Washington,Female,High School or Below,825576.39,54040,103.0,0,Personal Auto,SUV,59.99
YL74911,California,Female,College,871492.21,0,118.0,0,Personal Auto,SUV,566.4
GK92563,Washington,Female,Doctor,681923.12,22492,85.0,0,Personal Auto,Two-Door Car,61.65
HL53154,California,Male,Bachelor,741619.73,0,77.0,2,Personal Auto,Four-Door Car,554.4
RI78966,Oregon,Male,Master,777115.9,21876,68.0,0,Personal Auto,Four-Door Car,465.41
IC13702,California,Female,Bachelor,696834.19,0,69.0,1,Personal Auto,Four-Door Car,496.8
BE10809,California,Female,High School or Below,425028.26,0,61.0,1,Personal Auto,Four-Door Car,292.8
HT87217,Oregon,Female,High School or Below,1977656.65,70699,82.0,0,Personal Auto,Four-Door Car,256.81
TH95618,California,Female,High School or Below,2134346.6,0,74.0,1,Personal Auto,Four-Door Car,355.2
TS19868,California,Male,College,241313.97,27501,63.0,0,Personal Auto,Four-Door Car,542.32
LP45550,Oregon,Female,Doctor,1536384.72,15897,101.0,0,Personal Auto,Four-Door Car,303.15
QR87004,Nevada,Female,College,845696.19,25141,73.0,1,Personal Auto,Four-Door Car,25.44
OE75747,Nevada,Female,College,218964.25,0,61.0,3,Personal Auto,Four-Door Car,292.8
DX91392,California,Male,High School or Below,578018.22,51066,74.0,0,Personal Auto,Four-Door Car,787.99
AB72731,California,Female,Bachelor,463998.16,28358,117.0,0,Personal Auto,Luxury,84.02
GX84338,Washington,Female,Doctor,382443.13,62530,95.0,0,Personal Auto,Four-Door Car,61.69
IS12901,Arizona,Female,Bachelor,596811.89,90972,74.0,0,Personal Auto,Two-Door Car,232.93
BN90616,Washington,Female,Bachelor,859033.5,63110,72.0,0,Personal Auto,Four-Door Car,68.18
HH90090,California,Female,Bachelor,407663.47,29549,104.0,0,Personal Auto,Luxury,710.43
IU25463,California,Female,Bachelor,1225260.18,0,115.0,1,Personal Auto,Four-Door Car,552.0
KC11055,Nevada,Female,Bachelor,1693627.15,39411,217.0,2,Personal Auto,Luxury,1122.66
PD33979,Oregon,Male,High School or Below,489243.55,21709,62.0,0,Personal Auto,Four-Door Car,408.37
NK71023,Nevada,Male,Bachelor,994230.48,67890,85.0,0,Personal Auto,Four-Door Car,408.0
AB13432,California,Male,Bachelor,373583.81,0,110.0,0,Personal Auto,SUV,792.0
OZ97704,California,Female,High School or Below,1311752.22,84311,111.0,4,Personal Auto,SUV,532.8
UF46533,California,Female,College,457452.41,99316,114.0,0,Corporate Auto,SUV,754.36
XP47431,Arizona,Female,Bachelor,547006.06,54507,138.0,0,Personal Auto,SUV,702.99
GK73582,California,Female,Bachelor,297884.6,64586,76.0,0,Personal Auto,Four-Door Car,206.84
RV98763,Oregon,Male,College,641096.75,61709,82.0,2,Personal Auto,Four-Door Car,275.4
II62831,California,Male,Master,447902.31,94656,111.0,1,Special Auto,SUV,459.74
XK33449,California,Female,High School or Below,238373.19,0,69.0,0,Special Auto,Two-Door Car,496.8
TR85083,California,Male,Bachelor,276449.37,61085,70.0,1,Personal Auto,Two-Door Car,336.0
EO95328,Oregon,Female,Bachelor,792010.54,89284,67.0,3,Personal Auto,Two-Door Car,321.6
EN21086,Arizona,Female,High School or Below,688909.8,0,63.0,0,Personal Auto,Four-Door Car,302.4
YL83902,Washington,Female,Bachelor,327419.46,31686,81.0,0,Personal Auto,Four-Door Car,430.99
AZ62651,Oregon,Male,High School or Below,995170.77,56855,255.0,0,Corporate Auto,Luxury,1836.0
ZW25874,Oregon,Male,Bachelor,252155.57,53703,67.0,2,Special Auto,Four-Door Car,67.63
EH41854,Washington,Female,High School or Below,2370611.34,0,96.0,1,Personal Auto,Two-Door Car,844.48
MW70227,California,Male,College,604702.52,20396,76.0,1,Personal Auto,Four-Door Car,364.8
SL22297,California,Female,Master,1114030.25,27679,150.0,0,Personal Auto,SUV,722.49
RV14138,Nevada,Female,Bachelor,433406.41,23904,123.0,3,Personal Auto,SUV,590.4
UO62808,Arizona,Female,High School or Below,279974.79,65351,69.0,0,Corporate Auto,Four-Door Car,481.03
ZX64745,California,Male,College,792313.66,0,113.0,0,Personal Auto,SUV,1124.43
FL34139,California,Male,High School or Below,368811.09,0,63.0,3,Personal Auto,Four-Door Car,669.68
TS11219,California,Male,College,1206745.6,0,116.0,0,Personal Auto,SUV,1284.09
XX12304,California,Female,College,292497.67,64459,72.0,0,Personal Auto,Four-Door Car,240.26
SD64087,California,Male,College,1501409.27,32961,190.0,0,Corporate Auto,SUV,912.0
OY38576,Oregon,Female,High School or Below,927723.38,71416,116.0,0,Corporate Auto,SUV,556.8
BG76355,Washington,Female,Bachelor,627412.39,68964,78.0,0,Personal Auto,Four-Door Car,115.09
IP66913,California,Male,High School or Below,388664.74,78108,98.0,0,Personal Auto,Two-Door Car,470.4
LE95702,California,Male,College,438627.76,10621,67.0,0,Special Auto,Four-Door Car,321.6
KX54357,Washington,Male,College,1136526.77,84910,95.0,0,Corporate Auto,Two-Door Car,383.17
EZ78112,California,Female,High School or Below,561096.43,77493,70.0,0,Special Auto,Four-Door Car,307.96
XN16891,Arizona,Male,College,291289.2,81097,74.0,0,Personal Auto,Four-Door Car,355.2
XK31350,Oregon,Female,College,691572.99,96610,85.0,0,Corporate Auto,Four-Door Car,520.36
CC30924,Oregon,Male,College,626266.33,30110,159.0,0,Corporate Auto,Luxury,466.44
IT78748,Oregon,Female,High School or Below,650339.7,22081,84.0,0,Special Auto,Two-Door Car,451.67
KY33386,Washington,Female,High School or Below,800739.94,0,112.0,0,Personal Auto,Luxury,537.6
CO44221,California,Male,College,292991.65,98473,72.0,0,Personal Auto,Four-Door Car,345.6
LK60013,Oregon,Female,Bachelor,596955.3,97431,74.0,0,Personal Auto,Four-Door Car,355.2
DE21533,California,Male,Bachelor,547315.99,93870,69.0,0,Personal Auto,Four-Door Car,331.2
YS94121,Nevada,Male,High School or Below,564539.67,50366,72.0,0,Personal Auto,Four-Door Car,428.73
UK68427,Washington,Male,High School or Below,636926.24,34498,83.0,0,Personal Auto,Two-Door Car,398.4
TE49565,Oregon,Female,College,1183376.73,16552,103.0,0,Personal Auto,SUV,494.4
RA88421,Oregon,Female,College,612110.79,26787,77.0,0,Personal Auto,Four-Door Car,369.6
KQ51983,Nevada,Male,College,515936.97,0,74.0,0,Personal Auto,Two-Door Car,831.75
CD88896,Nevada,Female,High School or Below,251459.2,43860,65.0,0,Corporate Auto,Four-Door Car,156.12
YV22553,Arizona,Male,High School or Below,866861.13,21474,114.0,2,Corporate Auto,SUV,373.43
WU14435,California,Male,Bachelor,496096.54,18174,66.0,0,Corporate Auto,Four-Door Car,395.93
XV84099,Arizona,Female,Bachelor,550413.9,0,73.0,0,Corporate Auto,Four-Door Car,350.4
RI24911,Arizona,Male,College,750745.54,60920,64.0,0,Personal Auto,Two-Door Car,231.2
KO26461,Arizona,Male,High School or Below,3226985.14,41520,90.0,0,Personal Auto,Four-Door Car,289.9
HI14283,Oregon,Female,Bachelor,565703.16,0,152.0,0,Personal Auto,SUV,729.6
PT50227,Arizona,Male,High School or Below,506175.79,0,68.0,0,Personal Auto,Two-Door Car,326.4
BH36570,California,Male,Bachelor,591278.38,72208,73.0,0,Personal Auto,Two-Door Car,350.4
TX17484,California,Female,Bachelor,1518227.98,53863,63.0,0,Personal Auto,Four-Door Car,105.77
CT41158,Washington,Male,College,1074703.09,66446,136.0,0,Corporate Auto,SUV,639.46
AO87348,Washington,Male,College,205062.35,0,61.0,0,Personal Auto,Four-Door Car,292.8
DE55857,Washington,Female,Bachelor,246544.49,64997,63.0,1,Personal Auto,Four-Door Car,383.44
LF66923,Nevada,Female,High School or Below,534312.13,64460,66.0,0,Corporate Auto,Two-Door Car,316.8
CN24514,Arizona,Female,College,811982.91,46618,67.0,0,Personal Auto,Four-Door Car,99.09
UW32074,Oregon,Female,College,460526.52,0,64.0,0,Corporate Auto,Four-Door Car,307.2
HP36979,California,Male,College,640878.56,49988,84.0,5,Personal Auto,Two-Door Car,566.94
PP40919,California,Female,College,237653.35,0,91.0,5,Personal Auto,Two-Door Car,436.8
RO73268,California,Male,Bachelor,321107.0,16269,86.0,0,Corporate Auto,Two-Door Car,412.8
HO61691,Arizona,Female,Bachelor,509452.23,72006,64.0,0,Personal Auto,Four-Door Car,307.2
BS13062,Arizona,Female,High School or Below,2575527.82,0,81.0,2,Personal Auto,Four-Door Car,388.8
FO35655,Oregon,Male,Bachelor,867222.97,0,245.0,0,Corporate Auto,Luxury,2345.41
HR10526,California,Male,Master,804473.07,44320,67.0,0,Personal Auto,Four-Door Car,321.6
IA63417,Arizona,Female,High School or Below,400151.91,19782,108.0,0,Personal Auto,Two-Door Car,773.47
BH35016,Nevada,Female,Bachelor,1670611.7,63933,70.0,0,Personal Auto,Two-Door Car,424.88
PK52952,Arizona,Male,Doctor,854441.11,28224,109.0,0,Personal Auto,SUV,523.2
OD76309,Washington,Female,College,780531.29,21073,106.0,1,Personal Auto,SUV,508.8
IL28481,Oregon,Male,Bachelor,611275.69,63243,77.0,0,Personal Auto,Four-Door Car,364.24
GY55092,Nevada,Male,High School or Below,477294.38,20993,133.0,0,Personal Auto,SUV,638.4
UF33451,Oregon,Female,Bachelor,1097909.56,94827,135.0,0,Personal Auto,SUV,354.73
CF15558,California,Female,Master,500426.38,39161,63.0,1,Personal Auto,Two-Door Car,284.0
JM62924,Washington,Male,Bachelor,1322304.38,37534,84.0,2,Personal Auto,Four-Door Car,403.2
EM66435,Oregon,Female,Bachelor,262331.54,80210,65.0,0,Corporate Auto,Four-Door Car,20.54
QX45933,California,Male,Bachelor,1784019.56,0,62.0,0,Personal Auto,Four-Door Car,385.12
JI71369,California,Female,College,510611.18,30110,64.0,0,Personal Auto,Four-Door Car,140.17
JU93290,Arizona,Female,College,1793060.45,21708,68.0,0,Personal Auto,Four-Door Car,326.4
GU66096,Arizona,Male,High School or Below,545734.26,94731,67.0,0,Personal Auto,Four-Door Car,321.6
UC33108,California,Male,Bachelor,656364.41,32375,83.0,0,Personal Auto,Four-Door Car,398.4
LW93867,Oregon,Male,College,481252.52,16531,63.0,0,Corporate Auto,Four-Door Car,102.88
OU78470,Arizona,Female,Master,2932804.19,32006,94.0,0,Corporate Auto,Four-Door Car,56.87
XW90265,Arizona,Female,Bachelor,577352.07,81676,72.0,0,Personal Auto,Two-Door Car,463.16
HS67749,California,Male,College,684711.89,71038,86.0,0,Corporate Auto,Four-Door Car,205.44
VZ51506,Arizona,Female,High School or Below,359531.29,0,103.0,0,Corporate Auto,Luxury,741.6
UI64281,Nevada,Female,Master,2285561.21,20832,65.0,0,Personal Auto,Two-Door Car,56.37
AE98193,Washington,Male,High School or Below,785941.46,0,113.0,0,Personal Auto,SUV,813.6
AZ74055,Oregon,Male,High School or Below,411557.74,52405,103.0,0,Personal Auto,Four-Door Car,494.4
XS76911,Arizona,Female,High School or Below,502963.88,0,133.0,0,Personal Auto,Luxury,795.86
AY40674,Washington,Female,Bachelor,482141.85,26583,1005.0,4,Personal Auto,SUV,614.4
NA12740,Oregon,Male,Master,500431.05,25486,65.0,0,Special Auto,Two-Door Car,72.44
UA84837,Arizona,Male,College,863005.39,24065,111.0,0,Corporate Auto,Four-Door Car,532.8
DJ51510,Arizona,Female,High School or Below,932208.51,70435,116.0,0,Personal Auto,Four-Door Car,67.88
VM58985,California,Male,College,1672756.06,0,76.0,2,Personal Auto,Two-Door Car,402.64
OH60605,Oregon,Female,High School or Below,365253.24,39679,92.0,0,Personal Auto,Two-Door Car,641.39
UO98052,Nevada,Male,College,615860.12,0,89.0,0,Personal Auto,Four-Door Car,342.48
NC53424,California,Male,Bachelor,437608.4,0,69.0,4,Personal Auto,Two-Door Car,331.2
LQ13873,Nevada,Male,High School or Below,556945.62,53565,71.0,1,Personal Auto,Four-Door Car,340.8
